Match_No,Date,Day,Time,Venue,Venue_state,Venue_city,Team1,Team1_impact_player,Team2,Team2_impact_player,Match_stage,Toss_winner,Toss_winner_decision,First_ings_score,First_ings_wickets,Second_ings_score,Second_ings_wickets,Match_winner,Won_by,Margin,Player_of_the_match,top_scorer,Batsman_highscore,Best_bowling,Best_bowling_figure,Match_first_over
1,"March 28,2026",Saturday,7:30 P.M,M. Chinnaswamy Stadium,Karnatka,Bengaluru,Royal Challengers Bangalore,Devdutt Padikkal,Sunrisers Hyderabad,David Payne,League,Royal Challengers Bangalore,Field,201,9,203,4,Royal Challengers Bangalore,wickets,6,Jacob Duffy,Ishan Kishan,80,Jacob Duffy,3-22,Jacob Duffy
2,"March 29,2026",Sunday,7:30 P.M,Wankhede Stadium,Maharashtra,Mumbai,Mumbai Indians,Suryakumar Yadav,Kolkata Knight Riders,Kartik Tyagi,League,Mumbai Indians,Field,220,4,224,4,Mumbai Indians,wickets,6,Shardul Thakur,Ryan Rickelton ,81,Shardul Thakur,3-39,Trent Boult
3,"March 30,2026",Monday,7:30 P.M,Barsapara Cricket Stadium,Assam,Guwahati,Rajasthan Royals,No Result,Chennai Super Kings, Sarfaraz Khan,League,Rajasthan Royals,Field,127,10,128,2,Rajasthan Royals,wickets,8,Nandre Burger, Vaibhav Sooryavanshi,52,Jofra Archer,2-19,Nandre Burger
4,"March 31,2026",Tuesday,7:30 P.M,PCA New cricket Stadium,Punjab,New Chandigarh,Punjab Kings,Priyansh Arya,Gujarat Titans,Prasidh Krishna,League,Punjab Kings,Field,162,6,165,7,Punjab Kings,wickets,3,Cooper Connolly,Cooper Connolly,72,Vijaykumar Vyshak,3-34,Arshdeep Singh
5,"April 1,2026",Wednesday,7:30 P.M,Ekana Cricket Stadium,Uttar Pradesh,Lucknow,Lucknow Super Giants,Shahbaz Ahmed,Delhi Capitals,Sameer Rizvi ,League,Delhi Capitals,Field,141,10,145,4,Delhi Capitals,wickets,6,Sameer Rizvi,Sameer Rizvi,70,T Natrajan,3-29,Mukesh Kumar
6,"April 2,2026",Thrusday,7:30 P.M,Eden Garden,West Bengal,Kolkata,Kolkata Knight Riders,Finn Allen,Sunrisers Hyderabad,Eshan Malinga,League,Kolkata Knight Riders,Field,226,8,161,10,Sunrisers Hyderabad,Runs,65,Nitish Kumar Reddy,Angkrish Raghuvanshi,52,Jaydev Unadkat,3-21,David Payne
7,"April 3,2026",Friday,7:30 P.M,MA Chidambaram Stadium,Tamil Nadu,Chennai,Chennai Super Kings,Rahul Chahar,Punjab Kings,Priyansh Arya,League,Punjab Kings,Field,209,5,210,5,Punjab Kings,wickets,5,Priyansh Arya,Ayush Mhatre,73,Vijaykumar Vyshak,2-38,Arshdeep Singh
8,"April 4,2026",Saturday,3:30 P.M,Arun Jaitley Stadium,Delhi,Delhi,Delhi Capitals,Sameer Rizvi ,Mumbai Indians,Mayank Markande,League,Delhi Capitals,Field,162,6,164,4,Delhi Capitals,wickets,6,Sameer Rizvi,Sameer Rizvi,90,Mukesh Kumar,1-22,Mukesh Kumar
9,"April 4,2026",Saturday,7:30 P.M,Narendra Modi Stadium,Gujarat,Ahmedabad,Gujarat Titans,Shahrukh Khan ,Rajasthan Royals,Ravi Bishnoi,League,Rajasthan Royals,Bat,210,6,204,8,Rajasthan Royals,Runs,6,Ravi Bishnoi,Dhruv Jurel,75,Ravi Bishnoi,4-41,Jofra Archer
10,"April 5,2026",Sunday,3:30 P.M,Rajiv Gandhi International Stadium,Telangana,Hyderabad,Sunrisers Hyderabad,Eshan Malinga,Lucknow Super Giants,Ayush Badoni,League,Lucknow Super Giants,Field,156,9,160,5,Lucknow Super Giants,wickets,5,Mohammed Shami,Rishabh Pant,68,Mohammed Shami,2-9,Mohammed Shami
11,"April 5,2026",Sunday,7:30 P.M,M. Chinnaswamy Stadium,Karnatka,Bengaluru,Royal Challengers Bangalore,Suyash Sharma,Chennai Super Kings,Kartik Sharma,League,Chennai Super Kings,Field,250,3,207,10,Royal Challengers Bangalore,Runs,43,Tim David,Tim David,70,Abhinandan Singh,2-30,Khaleel Ahmed
12,"April 6,2026",Monday,7:30 P.M,Eden Garden,West Bengal,Kolkata,Kolkata Knight Riders,No Result,Punjab Kings,No Result,League,Kolkata Knight Riders,Bat,No Result,No Result,No Result,No Result,No Result,No Result,No Result,No Result,No Result,No Result,No Result,No Result,Arshdeep Singh
13,"April 7,2026",Tuesday,7:30 P.M,Barsapara Cricket Stadium,Assam,Guwahati,Rajasthan Royals,Ravi Bishnoi,Mumbai Indians,Sherfane Rutherford,League,Mumbai Indians,Field,150,3,123,9,Rajasthan Royals,Runs,27,Yashasvi Jaiswal,Yashasvi Jaiswal,77,Sandeep Sharma,2-26,Deepak Chahar
14,"April 8,2026",Wednesday,7:30 P.M,Arun Jaitley Stadium,Delhi,Delhi,Delhi Capitals,Sameer Rizvi ,Gujarat Titans,Prasidh Krishna,League,Delhi Capitals,Field,210,4,209,8,Gujarat Titans,Runs,1,Rashid Khan,KL Rahul,92,Rashid Khan,3-17,Mukesh Kumar
15,"April 9,2026",Thrusday,7:30 P.M,Eden Garden,West Bengal,Kolkata,Kolkata Knight Riders,Vaibhav Arora,Lucknow Super Giants,Ayush Badoni,League,Lucknow Super Giants,Field,181,4,182,7,Lucknow Super Giants,wickets,3,Mukul Choudhary,Mukul Choudhary,54,Anukul Roy,2-32,Mohammed Shami
16,"April 10,2026",Friday,7:30 P.M,Barsapara Cricket Stadium,Assam,Guwahati,Rajasthan Royals,Vaibhav Sooryavanshi,Royal Challengers Bangalore,Venkatesh Iyer,League,Rajasthan Royals,Field,201,8,202,4,Rajasthan Royals,wickets,6, Vaibhav Sooryavanshi,Dhruv Jurel,81,Ravi Bishnoi,2-32,Jofra Archer
17,"April 11,2026",Saturday,3:30 P.M,PCA New cricket Stadium,Punjab,New Chandigarh,Punjab Kings,Nehal Wadhera,Sunrisers Hyderabad,Jaydev Unadkat,League,Punjab Kings,Field,219,6,223,4,Punjab Kings,wickets,6,Shreyas Iyer,Shreyas Iyer,69,Shashank Singh,2-20,Arshdeep Singh
18,"April11,2026",Saturday,7:30 P.M,MA Chidambaram Stadium,Tamil Nadu,Chennai,Chennai Super Kings,Akeal Hosein,Delhi Capitals,Ashutosh Sharma,League,Delhi Capitals,Field,212,2,189,10,Chennai Super Kings,Runs,23,Sanju Samson,Sanju Samson,115,Jamie Overton,4-18,Auqib Nabi
19,"April 12,2026",Sunday,3:30 P.M,Ekana Cricket Stadium,Uttar Pradesh,Lucknow,Lucknow Super Giants,George Linde,Gujarat Titans,Shahrukh Khan ,League,Gujarat Titans,Field,164,8,165,3,Gujarat Titans,wickets,7,Prasidh Krishna,Jos Buttler,60,Prasidh Krishna,4-28,Mohammed Siraj
20,"April 12,2026",Sunday,7:30 P.M,Wankhede Stadium,Maharashtra,Mumbai,Mumbai Indians,Sherfane Rutherford,Royal Challengers Bangalore,Rasikh Salam,League,Mumbai Indians,Field,240,4,222,5,Royal Challengers Bangalore,Runs,18,Phile Salt,Phile Salt,78,Suyash Sharma,2-47,Trent Boult
21,"April 13,2026",Monday,7:30 P.M,Rajiv Gandhi International Stadium,Telangana,Hyderabad,Sunrisers Hyderabad,Sakib Hussain,Rajasthan Royals, Vaibhav Sooryavanshi,League,Rajasthan Royals,Field,216,6,159,10,Sunrisers Hyderabad,Runs,57,Praful Hinge,Ishan Kishan,91,Sakib Hussain,4-24,Jofra Archer
22,"April 14,2026",Tuesday,7:30 P.M,MA Chidambaram Stadium,Tamil Nadu,Chennai,Chennai Super Kings,Akeal Hosein,Kolkata Knight Riders,Finn Allen,League,Kolkata Knight Riders,Field,192,5,160,7,Chennai Super Kings,Runs,32,Noor Ahmad,Sanju Samson,48,Noor Ahmad,3-21,Vaibhav Arora
23,"April 15,2026",Wednesday,7:30 P.M,M. Chinnaswamy Stadium,Karnatka,Bengaluru,Royal Challengers Bangalore,Virat Kholi,Lucknow Super Giants,George Linde,League,Royal Challengers Bangalore,Field,146,10,149,5,Royal Challengers Bangalore,wickets,5,Josh Hazlewood,Virat Kholi,49,Rasikh Salam,4-24,Bhuvneshwar Kumar
24,"April 16,2026",Thrusday,7:30 P.M,Wankhede Stadium,Maharashtra,Mumbai,Mumbai Indians,Allah Ghazanfar,Punjab Kings,No Result,League,Punjab Kings,Field,195,6,198,3,Punjab Kings,wickets,7,Arshdeep Singh,Quinton de Kock,112,Arshdeep Singh,3-22,Arshdeep Singh
25,"April 17,2026",Friday,7:30 P.M,Narendra Modi Stadium,Gujarat,Ahmedabad,Gujarat Titans,Shahrukh Khan ,Kolkata Knight Riders,Varun Chakaravarthy,League,Kolkata Knight Riders,Bat,180,10,181,5,Gujarat Titans,wickets,5,Subhman Gill,Subhman Gill,86,Kagiso Rabada,3-29,Mohammed Siraj
